what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1352942191630
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942235765
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1352942241132
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1352942290399
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1352942294272
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1352942301551
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1352942303187
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942308787
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1352942312409
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1352942314651
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1352942318232
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942319907
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1352942323027
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1352942351393
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352942360648
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1352942363934
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352942364030
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942364088
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1352942364257
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1352942368329
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1352942376655
opened,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1352942376948
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1352942377048
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1352942388459
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1352942391864
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1352942405419
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1352942406315
closed,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1352942406315
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1352942409239
opened,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942409701
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942409773
error,log,,,"Error refreshing outline",1352942416203
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352942416416
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352942418403
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1352942421579
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1352942427529
opened,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942427975
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942428025
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1352942436291
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942436561
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1352942440244
opened,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942440565
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942440601
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942443519
closed,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942443520
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1352942445612
opened,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942445946
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942445988
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1352942470240
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942481256
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352942498472
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352942498720
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352942500255
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1352942502686
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942504482
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1352942505268
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942507152
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1352942507772
error,log,,,"Error refreshing outline",1352942508295
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352942508418
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1352942508648
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1352942508650
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352942510669
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942512390
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1352942513244
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1352942514881
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1352942518441
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1352942519965
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352942527366
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1352942528827
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1352942530700
