what,kind,bundleId,bundleVersion,description,time
error,log,,,"Errors occurred during the build.",1352932021436
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352932021461
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352932021630
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1352932021696
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352932023692
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352932023858
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352932023879
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1352932026213
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1352932026797
opened,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352932028892
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352932028937
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1352932032670
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352932040254
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1352932043832
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352932048706
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1352932049763
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352932049821
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1352932050349
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1352932055352
error,log,,,"Errors occurred during the build.",1352932055357
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352932055387
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352932059788
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352932062338
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352932109387
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352932137702
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352932208283
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1352932211695
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1352932217584
error,log,,,"Errors occurred during the build.",1352932217589
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352932217616
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352932219697
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352932224140
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352932284595
activated,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352932287070
closed,editor,csep.ui,0.2.2,"csep.CoffeeScript",1352932287099
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352932295711
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1352932327997
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1352932328269
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1352932330126
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1352932330530
opened,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1352932330681
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1352932330868
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1352932331025
